filename;car_number
HG0A5039.CR3;90
HG0A5041.CR3;57
HG0A5050.CR3;16
HG0A5053.CR3;63
HG0A5057.CR3;51
HG0A5059.CR3;50
HG0A5062.CR3;150
HG0A5063.CR3;150
HG0A5064.CR3;81
HG0A5065.CR3;81
HG0A5066.CR3;15
HG0A5071.CR3;7
HG0A5073.CR3;007
HG0A5079.CR3;63
HG0A5080.CR3;83
HG0A5082.CR3;10
HG0A5099.CR3;54
HG0A5102.CR3;93
HG0A5103.CR3;008
HG0A5107.CR3;50
HG0A5110.CR3;48
HG0A5112.CR3;311
HG0A5116.CR3;80
HG0A5120.CR3;48
HG0A5130.CR3;56
HG0A5133.CR3;8
HG0A5144.CR3;35
HG0A5145.CR3;007
HG0A5154.CR3;8
HG0A5157.CR3;56
HG0A5158.CR3;94
HG0A5159.CR3;93
HG0A5160.CR3;63
HG0A5164.CR3;83
HG0A5165.CR3;83
HG0A5168.CR3;56
HG0A5172.CR3;50
HG0A5173.CR3;11
HG0A5174.CR3;51
HG0A5176.CR3;708
HG0A5183.CR3;25
HG0A5186.CR3;4
HG0A5187.CR3;4
HG0A5193.CR3;007
HG0A5201.CR3;311
HG0A5207.CR3;22
HG0A5209.CR3;8
HG0A5210.CR3;709
HG0A5211.CR3;6
HG0A5212.CR3;6
HG0A5214.CR3;57
HG0A5215.CR3;94
HG0A5226.CR3;23
HG0A5236.CR3;50
HG0A5242.CR3;6
HG0A5244.CR3;59
HG0A5248.CR3;29
HG0A5251.CR3;4
HG0A5255.CR3;18
HG0A5256.CR3;009
HG0A5257.CR3;008
HG0A5258.CR3;109
HG0A5265.CR3;007
HG0A5266.CR3;007
HG0A5272.CR3;22
HG0A5283.CR3;47
HG0A5288.CR3;23
HG0A5289.CR3;97
HG0A5290.CR3;57
HG0A5296.CR3;33
HG0A5298.CR3;36
HG0A5302.CR3;51
HG0A5308.CR3;311
HG0A5311.CR3;4
HG0A5315.CR3;17
HG0A5317.CR3;007
HG0A5318.CR3;007
HG0A5321.CR3;150
HG0A5322.CR3;47
HG0A5328.CR3;95
HG0A5329.CR3;36
HG0A5331.CR3;38
HG0A5332.CR3;50
HG0A5337.CR3;311
HG0A5339.CR3;67
HG0A5341.CR3;93
HG0A5342.CR3;17
HG0A5344.CR3;16
HG0A5348.CR3;35
HG0A5351.CR3;311
HG0A5352.CR3;311
HG0A5361.CR3;37
HG0A5365.CR3;33
HG0A5368.CR3;83
HG0A5371.CR3;33
HG0A5373.CR3;48
HG0A5374.CR3;50
HG0A5378.CR3;63
HG0A5382.CR3;54
HG0A5383.CR3;38
HG0A5386.CR3;56
HG0A5387.CR3;15
HG0A5393.CR3;93
HG0A5395.CR3;66
HG0A5401.CR3;35
HG0A5404.CR3;56
HG0A5406.CR3;86
HG0A5407.CR3;93
HG0A5416.CR3;50
HG0A5419.CR3;51
HG0A5420.CR3;47
HG0A5421.CR3;24
HG0A5422.CR3;009
HG0A5423.CR3;008
HG0A5425.CR3;93
HG0A5429.CR3;007
HG0A5430.CR3;36
HG0A5431.CR3;61
HG0A5445.CR3;93
HG0A5446.CR3;94
HG0A5449.CR3;63
HG0A5452.CR3;50
HG0A5455.CR3;34
HG0A5458.CR3;38
HG0A5462.CR3;708
HG0A5463.CR3;38
HG0A5464.CR3;97
HG0A5465.CR3;18
HG0A5466.CR3;007
HG0A5467.CR3;32
